 處理範圍: 1000 ~ 1500 (共 500 users)
ryotama135 -> 46 outfits | ⏱ 29.22s | avg 156.04s                                           
ww474 -> 41 outfits | ⏱ 27.24s | avg 155.00s                                                
78885010 -> 118 outfits | ⏱ 176.75s | avg 155.17s                                           
kazuki0102 -> 191 outfits | ⏱ 228.64s | avg 155.76s                                         
nano116 -> 277 outfits | ⏱ 168.91s | avg 155.86s                                            
rina9231 -> 218 outfits | ⏱ 126.53s | avg 155.63s                                           
jump18 -> 41 outfits | ⏱ 124.69s | avg 155.39s                                              
gusssssan -> 372 outfits | ⏱ 240.46s | avg 156.05s                                          
peimax2525 -> 75 outfits | ⏱ 146.30s | avg 155.97s                                          
xxhigemeganexx -> 47 outfits | ⏱ 29.30s | avg 155.01s                                       
tnkkw -> 540 outfits | ⏱ 441.65s | avg 157.17s                                              
shiro7591 -> 115 outfits | ⏱ 171.69s | avg 157.28s                                          
powallo704 -> 73 outfits | ⏱ 145.89s | avg 157.19s                                          
10atm12 -> 143 outfits | ⏱ 186.63s | avg 157.41s                                            
seaman0515 -> 72 outfits | ⏱ 43.07s | avg 156.57s                                           
fukayoshida -> 507 outfits | ⏱ 397.17s | avg 158.32s                                        
un_azu -> 0 outfits | ⏱ 1.78s | avg 157.19s                                                 
fatemeh -> 311 outfits | ⏱ 184.32s | avg 157.38s                                            
aokimnk -> 350 outfits | ⏱ 298.67s | avg 158.39s                                            
yuzu312 -> 491 outfits | ⏱ 311.85s | avg 159.47s                                            
berichoco -> 0 outfits | ⏱ 1.79s | avg 158.36s                                              
kenta20020420 -> 40 outfits | ⏱ 119.54s | avg 158.09s                                       
chloe0304syuna -> 364 outfits | ⏱ 293.66s | avg 159.03s                                     
fukukiroku -> 76 outfits | ⏱ 50.50s | avg 158.29s                                           
na7na8 -> 502 outfits | ⏱ 313.47s | avg 159.34s                                             
kanimaster2000 -> 150 outfits | ⏱ 184.41s | avg 159.51s                                     
mm_6215 -> 53 outfits | ⏱ 130.90s | avg 159.32s                                             
mcmc127 -> 411 outfits | ⏱ 250.35s | avg 159.93s                                            
nolwada404 -> 238 outfits | ⏱ 150.48s | avg 159.86s                                         
wei3h -> 10 outfits | ⏱ 7.51s | avg 158.86s                                                 
hannarieri -> 105 outfits | ⏱ 168.14s | avg 158.92s                                         
t4121s -> 88 outfits | ⏱ 53.06s | avg 158.23s                                               
yuminasan0 -> 252 outfits | ⏱ 159.89s | avg 158.24s                                         
apart08809 -> 72 outfits | ⏱ 43.04s | avg 157.51s                                           
tkmyuw -> 2 outfits | ⏱ 2.92s | avg 156.52s                                                 
kano199925 -> 84 outfits | ⏱ 147.68s | avg 156.47s                                          
katayama1217 -> 0 outfits | ⏱ 1.93s | avg 155.49s                                           
amersar912 -> 6 outfits | ⏱ 5.78s | avg 154.56s                                             
nolmorihara -> 175 outfits | ⏱ 112.38s | avg 154.30s                                        
apart0582 -> 401 outfits | ⏱ 247.75s | avg 154.87s                                          
eat_came -> 0 outfits | ⏱ 1.84s | avg 153.93s                                               
9ryo -> 438 outfits | ⏱ 276.88s | avg 154.68s                                               
oyukipic -> 442 outfits | ⏱ 352.01s | avg 155.88s                                           
humuhumu123 -> 70 outfits | ⏱ 43.15s | avg 155.20s                                          
fujiiiita_nsol -> 243 outfits | ⏱ 250.63s | avg 155.77s                                     
k529iam -> 614 outfits | ⏱ 383.61s | avg 157.13s                                            
risapi1001 -> 88 outfits | ⏱ 55.06s | avg 156.52s                                           
tanimi29 -> 125 outfits | ⏱ 172.99s | avg 156.62s                                           
himabell333 -> 179 outfits | ⏱ 203.91s | avg 156.90s                                        
mikinosuke125 -> 442 outfits | ⏱ 358.33s | avg 158.07s                                      
jinko_rose -> 148 outfits | ⏱ 186.53s | avg 158.23s                                         
zawa343 -> 61 outfits | ⏱ 141.41s | avg 158.14s                                             
ayuuchi -> 352 outfits | ⏱ 218.86s | avg 158.48s                                            
takataka1027 -> 87 outfits | ⏱ 153.09s | avg 158.45s                                        
kazu5449 -> 193 outfits | ⏱ 222.38s | avg 158.81s                                           
sayaks -> 620 outfits | ⏱ 455.34s | avg 160.48s                                             
